state_region,ages,year,population
GA,total,2004,8769252.0
GA,under18,2004,2308855.0
GA,total,2001,8377038.0
GA,under18,2001,2215390.0
GA,total,2002,8508256.0
GA,under18,2002,2249784.0
GA,total,1999,8045965.0
GA,under18,1999,2130698.0
GA,total,2000,8227303.0
GA,under18,2000,2176576.0
GA,total,1997,7685099.0
GA,under18,1997,2034163.0
GA,under18,1998,2078998.0
GA,total,1998,7863536.0
GA,under18,1996,1993171.0
GA,total,1996,7501069.0
GA,total,1995,7328413.0
GA,under18,1995,1949818.0
GA,under18,1992,1817781.0
GA,total,1992,6817203.0
GA,total,1993,6978240.0
GA,under18,1993,1865021.0
GA,under18,1994,1906539.0
GA,total,1994,7157165.0
GA,total,1991,6653005.0
GA,under18,1991,1773675.0
GA,under18,1990,1747363.0
GA,total,1990,6512602.0
HI,under18,1990,279983.0
HI,total,1990,1113491.0
HI,total,1991,1136754.0
HI,under18,1991,287871.0
HI,under18,1994,307517.0
HI,total,1994,1187536.0
HI,total,1993,1172838.0
HI,under18,1993,301473.0
HI,under18,1992,295124.0
HI,total,1992,1158613.0
HI,total,1995,1196854.0
HI,under18,1995,310325.0
HI,under18,1996,311213.0
HI,total,1996,1203755.0
HI,under18,1998,304576.0
HI,total,1998,1215233.0
HI,total,1997,1211640.0
HI,under18,1997,309465.0
HI,total,2000,1213519.0
HI,under18,2000,295352.0
HI,total,1999,1210300.0
HI,under18,1999,299680.0
HI,total,2002,1239613.0
HI,under18,2002,293600.0
HI,total,2001,1225948.0
HI,under18,2001,294133.0
HI,total,2004,1273569.0
HI,under18,2004,298103.0
HI,total,2003,1251154.0
HI,under18,2003,294519.0
HI,total,2006,1309731.0
HI,under18,2006,299313.0
HI,total,2005,1292729.0
HI,under18,2005,298497.0
HI,total,2008,1332213.0
HI,under18,2008,301094.0
HI,total,2007,1315675.0
HI,under18,2007,300207.0
HI,under18,2013,307266.0
HI,total,2009,1346717.0
HI,under18,2009,302796.0
HI,total,2013,1404054.0
HI,total,2010,1363731.0
HI,under18,2010,303812.0
HI,total,2011,1376897.0
HI,under18,2011,305396.0
HI,under18,2012,305981.0
HI,total,2012,1390090.0
ID,total,2012,1595590.0
ID,under18,2012,427177.0
ID,under18,2011,428535.0
ID,total,2011,1583930.0
ID,under18,2010,428961.0
ID,total,2010,1570718.0
ID,total,2013,1612136.0
ID,total,2009,1554439.0
ID,under18,2009,426076.0
ID,under18,2013,427781.0
ID,total,2007,1505105.0
ID,under18,2007,415024.0
ID,total,2008,1534320.0
ID,under18,2008,422347.0
ID,total,2005,1428241.0
ID,under18,2005,394651.0
ID,total,2006,1468669.0
ID,under18,2006,404753.0
ID,total,2003,1363380.0
ID,under18,2003,379241.0
ID,total,2004,1391802.0
ID,under18,2004,384692.0
ID,total,2001,1319962.0
ID,under18,2001,373145.0
ID,total,2002,1340372.0
ID,under18,2002,375986.0
ID,total,1999,1275674.0
ID,under18,1999,366689.0
ID,total,2000,1299430.0
ID,under18,2000,370430.0
ID,total,1997,1228520.0
ID,under18,1997,357779.0
ID,under18,1998,362189.0
ID,total,1998,1252330.0
ID,under18,1996,353824.0
ID,total,1996,1203083.0
ID,total,1995,1177322.0
ID,under18,1995,349248.0
ID,under18,1992,324972.0
ID,total,1992,1071685.0
ID,total,1993,1108768.0
ID,under18,1993,333838.0
ID,under18,1994,344242.0
ID,total,1994,1145140.0
ID,total,1991,1041316.0
ID,under18,1991,316732.0
ID,under18,1990,313373.0
ID,total,1990,1012384.0
IL,under18,1990,2940837.0
IL,total,1990,11453316.0
IL,total,1991,11568964.0
IL,under18,1991,2988715.0
IL,under18,1994,3110938.0
IL,total,1994,11912585.0
IL,total,1993,11809579.0
IL,under18,1993,3066541.0
IL,under18,1992,3033427.0
IL,total,1992,11694184.0
IL,total,1995,12008437.0
IL,under18,1995,3152984.0
IL,under18,1996,3192916.0
IL,total,1996,12101997.0
IL,under18,1998,3225252.0
IL,total,1998,12271847.0
IL,total,1997,12185715.0
IL,under18,1997,3222114.0
IL,total,2000,12434161.0
IL,under18,2000,3244944.0
IL,total,1999,12359020.0
IL,under18,1999,3240034.0
IL,total,2002,12525556.0
IL,under18,2002,3238362.0
IL,total,2001,12488445.0
IL,under18,2001,3243617.0
IL,total,2004,12589773.0
IL,under18,2004,3211599.0
IL,total,2003,12556006.0
IL,under18,2003,3225547.0
IL,total,2006,12643955.0
IL,under18,2006,3181246.0
IL,total,2005,12609903.0
IL,under18,2005,3197318.0
IL,total,2008,12747038.0
IL,under18,2008,3153401.0
IL,total,2007,12695866.0
IL,under18,2007,3170134.0
IL,under18,2013,3023307.0
IL,total,2009,12796778.0
IL,under18,2009,3138406.0
IL,total,2013,12882135.0
IL,total,2010,12839695.0
IL,under18,2010,3122092.0
IL,total,2011,12855970.0
IL,under18,2011,3089833.0
IL,under18,2012,3057042.0
IL,total,2012,12868192.0
IN,total,2012,6537782.0
IN,under18,2012,1589655.0
IN,under18,2011,1598091.0
IN,total,2011,6516336.0
IN,under18,2010,1605883.0
IN,total,2010,6489965.0
IN,total,2013,6570902.0
IN,total,2009,6459325.0
IN,under18,2009,1609704.0
IN,under18,2013,1586027.0
IN,total,2007,6379599.0
IN,under18,2007,1609494.0
IN,total,2008,6424806.0
IN,under18,2008,1611494.0
IN,total,2005,6278616.0
IN,under18,2005,1593898.0
IN,total,2006,6332669.0
IN,under18,2006,1603107.0
IN,total,2003,6196638.0
IN,under18,2003,1582560.0
IN,total,2004,6233007.0
IN,under18,2004,1586281.0
IN,total,2001,6127760.0
IN,under18,2001,1579527.0
IN,total,2002,6155967.0
IN,under18,2002,1580814.0
IN,total,1999,6044970.0
IN,under18,1999,1566079.0
IN,total,2000,6091866.0
IN,under18,2000,1574989.0
IN,total,1997,5955267.0
IN,under18,1997,1539270.0
IN,under18,1998,1551960.0
IN,total,1998,5998881.0
IN,under18,1996,1517961.0
IN,total,1996,5906013.0
IN,total,1995,5851459.0
IN,under18,1995,1507916.0
IN,under18,1992,1461650.0
IN,total,1992,5674547.0
IN,total,1993,5739019.0
IN,under18,1993,1473007.0
IN,under18,1994,1491802.0
IN,total,1994,5793526.0
IN,total,1991,5616388.0
IN,under18,1991,1450759.0
IN,under18,1990,1437209.0
IN,total,1990,5557798.0
IA,under18,1990,719366.0
IA,total,1990,2781018.0
IA,total,1991,2797613.0
IA,under18,1991,724446.0
IA,under18,1994,728397.0
IA,total,1994,2850746.0
IA,total,1993,2836972.0
IA,under18,1993,727751.0
IA,under18,1992,724798.0
IA,total,1992,2818401.0
IA,total,1995,2867373.0
IA,under18,1995,726961.0
IA,under18,1996,729177.0
IA,total,1996,2880001.0
IA,under18,1998,729943.0
IA,total,1998,2902872.0
IA,total,1997,2891119.0
IA,under18,1997,729806.0
IA,total,2000,2929067.0
IA,under18,2000,733337.0
IA,total,1999,2917634.0
IA,under18,1999,732671.0
IA,total,2002,2934234.0
IA,under18,2002,723685.0
IA,total,2001,2931997.0
IA,under18,2001,728601.0
IA,total,2004,2953635.0
IA,under18,2004,718708.0
IA,total,2003,2941999.0
IA,under18,2003,720102.0
IA,total,2006,2982644.0
IA,under18,2006,721703.0
IA,total,2005,2964454.0
IA,under18,2005,718488.0
IA,total,2008,3016734.0
IA,under18,2008,725658.0
IA,total,2007,2999212.0
IA,under18,2007,723632.0
IA,under18,2013,724032.0
IA,total,2009,3032870.0
IA,under18,2009,726969.0
IA,total,2013,3090416.0
IA,total,2010,3050314.0
IA,under18,2010,727717.0
IA,total,2011,3064102.0
IA,under18,2011,725522.0
IA,under18,2012,723917.0
IA,total,2012,3075039.0
KS,total,2012,2885398.0
KS,under18,2012,726668.0
KS,under18,2011,726787.0
KS,total,2011,2869548.0
KS,under18,2010,727729.0
KS,total,2010,2858910.0
KS,total,2013,2893957.0
KS,total,2009,2832704.0
KS,under18,2009,721841.0
KS,under18,2013,724092.0
KS,total,2007,2783785.0
KS,under18,2007,711005.0
KS,total,2008,2808076.0
KS,under18,2008,714689.0
KS,total,2005,2745299.0
KS,under18,2005,704689.0
KS,total,2006,2762931.0
KS,under18,2006,705277.0
KS,total,2003,2723004.0
KS,under18,2003,707847.0
KS,total,2004,2734373.0
KS,under18,2004,705456.0
KS,total,2001,2702162.0
KS,under18,2001,710923.0
KS,total,2002,2713535.0
KS,under18,2002,709416.0
KS,total,1999,2678338.0
KS,under18,1999,713022.0
KS,total,2000,2693681.0
KS,under18,2000,713887.0
KS,total,1997,2635292.0
KS,under18,1997,704001.0
KS,under18,1998,710402.0
KS,total,1998,2660598.0
KS,under18,1996,696298.0
KS,total,1996,2614554.0
KS,total,1995,2601008.0
KS,under18,1995,694124.0
KS,under18,1992,680871.0
KS,total,1992,2532395.0
KS,total,1993,2556547.0
KS,under18,1993,687262.0
KS,under18,1994,693673.0
KS,total,1994,2580513.0
KS,total,1991,2498722.0
KS,under18,1991,672033.0
KS,under18,1990,662641.0
KS,total,1990,2481349.0
KY,under18,1990,945951.0
KY,total,1990,3694048.0
KY,total,1991,3722328.0
KY,under18,1991,951512.0
KY,under18,1994,981439.0
KY,total,1994,3849088.0
KY,total,1993,3812206.0
KY,under18,1993,971134.0
KY,under18,1992,963861.0
KY,total,1992,3765469.0
KY,total,1995,3887427.0
KY,under18,1995,984486.0
KY,under18,1996,987062.0
KY,total,1996,3919536.0
KY,under18,1998,997296.0
KY,total,1998,3985391.0
KY,total,1997,3952747.0
KY,under18,1997,1002609.0
KY,total,2000,4049021.0
KY,under18,2000,994984.0
KY,total,1999,4018053.0
KY,under18,1999,996382.0
KY,total,2002,4089875.0
KY,under18,2002,995251.0
KY,total,2001,4068132.0
KY,under18,2001,994105.0
KY,total,2004,4146101.0
KY,under18,2004,998459.0
KY,total,2003,4117170.0
KY,under18,2003,998485.0
KY,total,2006,4219239.0
KY,under18,2006,1011295.0
KY,total,2005,4182742.0
KY,under18,2005,1004020.0
KY,total,2008,4289878.0
KY,under18,2008,1022001.0
KY,total,2007,4256672.0
KY,under18,2007,1016288.0
KY,under18,2013,1014004.0
KY,total,2009,4317074.0
KY,under18,2009,1021710.0
KY,total,2013,4395295.0
KY,total,2010,4347698.0
KY,under18,2010,1023679.0
KY,total,2011,4366869.0
KY,under18,2011,1021926.0
KY,under18,2012,1017350.0
KY,total,2012,4379730.0
LA,total,2012,4602134.0
LA,under18,2012,1114620.0
LA,under18,2011,1116579.0
LA,total,2011,4575197.0
LA,under18,2010,1118576.0
LA,total,2010,4545392.0
LA,total,2013,4625470.0
LA,total,2009,4491648.0
LA,under18,2009,1114228.0
LA,under18,2013,1112957.0
LA,total,2007,4375581.0
LA,under18,2007,1096642.0
LA,total,2008,4435586.0
LA,under18,2008,1108728.0
LA,total,2005,4576628.0
LA,under18,2005,1177954.0
LA,total,2006,4302665.0
LA,under18,2006,1078779.0
LA,total,2003,4521042.0
LA,under18,2003,1188070.0
LA,total,2004,4552238.0
LA,under18,2004,1182731.0
LA,total,2001,4477875.0
LA,under18,2001,1204187.0
LA,total,2002,4497267.0
LA,under18,2002,1194819.0
LA,total,2000,4471885.0
LA,under18,2000,1217670.0
LA,total,1999,4460811.0
LA,under18,1999,1227167.0
LA,total,1997,4421072.0
LA,under18,1997,1239665.0
LA,under18,1998,1232984.0
LA,total,1998,4440344.0
LA,under18,1996,1244627.0
LA,total,1996,4398877.0
LA,total,1995,4378779.0
LA,under18,1995,1250112.0
LA,under18,1992,1237034.0
LA,total,1992,4293003.0
LA,total,1993,4316428.0
LA,under18,1993,1239161.0
LA,under18,1994,1247631.0
LA,total,1994,4347481.0
LA,total,1991,4253279.0
LA,under18,1991,1222330.0
LA,under18,1990,1205984.0
LA,total,1990,4221532.0
ME,under18,1990,308066.0
ME,total,1990,1231719.0
ME,total,1991,1237081.0
ME,under18,1991,309871.0
ME,under18,1994,311570.0
ME,total,1994,1242662.0
ME,total,1993,1242302.0
ME,under18,1993,310966.0
ME,under18,1992,310679.0
ME,total,1992,1238508.0
ME,total,1995,1243481.0
ME,under18,1995,309173.0
ME,under18,1996,307740.0
ME,total,1996,1249060.0
ME,under18,1998,304496.0
ME,total,1998,1259127.0
ME,total,1997,1254774.0
ME,under18,1997,305097.0
ME,total,1999,1266808.0
ME,under18,1999,302321.0
ME,total,2000,1277072.0
ME,under18,2000,301407.0
ME,total,2002,1295960.0
ME,under18,2002,298595.0
ME,total,2001,1285692.0
ME,under18,2001,300088.0
ME,total,2004,1313688.0
ME,under18,2004,294791.0
ME,total,2003,1306513.0
ME,under18,2003,296786.0
ME,total,2006,1323619.0
ME,under18,2006,288945.0
ME,total,2005,1318787.0
ME,under18,2005,292039.0
ME,total,2008,1330509.0
ME,under18,2008,282204.0
ME,total,2007,1327040.0
ME,under18,2007,286185.0
ME,under18,2013,261276.0
ME,total,2009,1329590.0
ME,under18,2009,277946.0
ME,total,2013,1328302.0
ME,total,2010,1327366.0
ME,under18,2010,273061.0
ME,total,2011,1327844.0
ME,under18,2011,268737.0
ME,under18,2012,264846.0
ME,total,2012,1328501.0
MD,total,2012,5884868.0
MD,under18,2012,1346235.0
MD,under18,2011,1348766.0
MD,total,2011,5840241.0
MD,under18,2010,1351983.0
MD,total,2010,5787193.0
MD,total,2013,5928814.0
MD,total,2009,5730388.0
MD,under18,2009,1353631.0
MD,under18,2013,1344522.0
MD,total,2007,5653408.0
MD,under18,2007,1369563.0
MD,total,2008,5684965.0
MD,under18,2008,1359214.0
MD,total,2005,5592379.0
MD,under18,2005,1382966.0
MD,total,2006,5627367.0
MD,under18,2006,1377756.0
MD,total,2003,5496269.0
MD,under18,2003,1379641.0
MD,total,2004,5546935.0
MD,under18,2004,1383450.0
MD,total,2001,5374691.0
MD,under18,2001,1366552.0
MD,total,2002,5440389.0
MD,under18,2002,1375354.0
MD,total,2000,5311034.0
MD,under18,2000,1356961.0
MD,total,1999,5254509.0
MD,under18,1999,1348659.0
MD,total,1997,5157328.0
MD,under18,1997,1321306.0
MD,under18,1998,1338727.0
MD,total,1998,5204464.0
MD,under18,1996,1303816.0
MD,total,1996,5111986.0
MD,total,1995,5070033.0
MD,under18,1995,1300695.0
MD,under18,1992,1235498.0
MD,total,1992,4923369.0
